CHAVE,COD_AFIRMACAO,AFIRMACAO,ARQUETIPO,QTD_ESTRELAS,VALOR_ESCALA,PESO,PONTOS_OBTIDOS,PONTOS_MAXIMOS,PERCETUAL
Consultivo5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,5,25.0,1.5,37.5,50.0,0.75
Prescritivo5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,5,3.125,1.5,4.6875,200.0,0.0234375
Formador5Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,5,100.0,1.5,150.0,200.0,0.75
Imperativo6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Imperativo,6,6.25,2.0,12.5,100.0,0.125
Resoluto6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Cuidativo,6,12.5,2.0,25.0,50.0,0.5
Consultivo6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Consultivo,6,25.0,2.0,50.0,50.0,1.0
Prescritivo6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Prescritivo,6,3.125,2.0,6.25,200.0,0.03125
Formador6Q01,Q01,01. Méu líder considera as perspectivas futuras dos integrantes da sua equipe,Formador,6,100.0,2.0,200.0,200.0,1.0
Imperativo1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,1,50.0,2.0,100.0,100.0,1.0
Resoluto1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,1,6.25,2.0,12.5,100.0,0.125
Cuidativo1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,1,25.0,2.0,50.0,50.0,1.0
Consultivo1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,1,3.125,2.0,6.25,200.0,0.03125
Prescritivo1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,1,12.5,2.0,25.0,50.0,0.5
Imperativo2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,2,50.0,1.5,75.0,100.0,0.75
Resoluto2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,2,6.25,1.5,9.375,100.0,0.09375
Cuidativo2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,2,25.0,1.5,37.5,50.0,0.75
Consultivo2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,2,3.125,1.5,4.6875,200.0,0.0234375
Prescritivo2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,2,100.0,1.5,150.0,200.0,0.75
Formador2Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,2,12.5,1.5,18.75,50.0,0.375
Imperativo3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,3,50.0,1.0,50.0,100.0,0.5
Resoluto3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,3,6.25,1.0,6.25,100.0,0.0625
Cuidativo3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,3,25.0,1.0,25.0,50.0,0.5
Consultivo3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,3,3.125,1.0,3.125,200.0,0.015625
Prescritivo3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,3,100.0,1.0,100.0,200.0,0.5
Formador3Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,3,12.5,1.0,12.5,50.0,0.25
Imperativo4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,4,3.125,1.0,3.125,100.0,0.03125
Resoluto4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,4,12.5,1.0,12.5,50.0,0.25
Consultivo4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,4,6.25,1.0,6.25,200.0,0.03125
Formador4Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,4,25.0,1.0,25.0,50.0,0.5
Imperativo5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,5,3.125,1.5,4.6875,100.0,0.046875
Resoluto5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,5,12.5,1.5,18.75,50.0,0.375
Consultivo5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,5,6.25,1.5,9.375,200.0,0.046875
Formador5Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,5,25.0,1.5,37.5,50.0,0.75
Imperativo6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Imperativo,6,3.125,2.0,6.25,100.0,0.0625
Resoluto6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Cuidativo,6,12.5,2.0,25.0,50.0,0.5
Consultivo6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Prescritivo,6,6.25,2.0,12.5,200.0,0.0625
Formador6Q02,Q02,02. Meu líder incentiva os integrantes de sua equipe a decidirem.,Formador,6,25.0,2.0,50.0,50.0,1.0
Imperativo1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,1,100.0,2.0,200.0,200.0,1.0
Resoluto1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,1,6.25,2.0,12.5,50.0,0.25
Cuidativo1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,1,3.125,2.0,6.25,200.0,0.03125
Consultivo1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,1,25.0,2.0,50.0,50.0,1.0
Prescritivo1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,1,50.0,2.0,100.0,100.0,1.0
Formador1Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,1,12.5,2.0,25.0,100.0,0.25
Imperativo2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,2,100.0,1.5,150.0,200.0,0.75
Resoluto2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,2,6.25,1.5,9.375,50.0,0.1875
Cuidativo2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,2,3.125,1.5,4.6875,200.0,0.0234375
Consultivo2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,2,25.0,1.5,37.5,50.0,0.75
Prescritivo2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,2,50.0,1.5,75.0,100.0,0.75
Formador2Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,2,12.5,1.5,18.75,100.0,0.1875
Imperativo3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,3,100.0,1.0,100.0,200.0,0.5
Resoluto3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,3,6.25,1.0,6.25,50.0,0.125
Cuidativo3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,3,3.125,1.0,3.125,200.0,0.015625
Consultivo3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,3,25.0,1.0,25.0,50.0,0.5
Prescritivo3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,3,50.0,1.0,50.0,100.0,0.5
Formador3Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,3,12.5,1.0,12.5,100.0,0.125
Imperativo4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,4,3.125,1.0,3.125,200.0,0.015625
Resoluto4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,4,25.0,1.0,25.0,50.0,0.5
Cuidativo4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,4,100.0,1.0,100.0,200.0,0.5
Consultivo4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,4,12.5,1.0,12.5,50.0,0.25
Prescritivo4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,4,6.25,1.0,6.25,100.0,0.0625
Formador4Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,4,50.0,1.0,50.0,100.0,0.5
Imperativo5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,5,3.125,1.5,4.6875,200.0,0.0234375
Resoluto5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,5,25.0,1.5,37.5,50.0,0.75
Cuidativo5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,5,100.0,1.5,150.0,200.0,0.75
Consultivo5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,5,12.5,1.5,18.75,50.0,0.375
Prescritivo5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,5,6.25,1.5,9.375,100.0,0.09375
Formador5Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,5,50.0,1.5,75.0,100.0,0.75
Imperativo6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Imperativo,6,3.125,2.0,6.25,200.0,0.03125
Resoluto6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Resoluto,6,25.0,2.0,50.0,50.0,1.0
Cuidativo6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Cuidativo,6,100.0,2.0,200.0,200.0,1.0
Consultivo6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Consultivo,6,12.5,2.0,25.0,50.0,0.5
Prescritivo6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Prescritivo,6,6.25,2.0,12.5,100.0,0.125
Formador6Q03,Q03,03. Meu líder sempre se preocupa com as pessoas.,Formador,6,50.0,2.0,100.0,100.0,1.0
Imperativo1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,1,50.0,2.0,100.0,100.0,1.0
Resoluto1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,1,12.5,2.0,25.0,100.0,0.25
Cuidativo1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,1,25.0,2.0,50.0,50.0,1.0
Consultivo1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,1,6.25,2.0,12.5,200.0,0.0625
Prescritivo1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,1,100.0,2.0,200.0,200.0,1.0
Formador1Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,1,3.125,2.0,6.25,50.0,0.125
Imperativo2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,2,50.0,1.5,75.0,100.0,0.75
Resoluto2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,2,12.5,1.5,18.75,100.0,0.1875
Cuidativo2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,2,25.0,1.5,37.5,50.0,0.75
Consultivo2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,2,6.25,1.5,9.375,200.0,0.046875
Prescritivo2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,2,100.0,1.5,150.0,200.0,0.75
Formador2Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,2,3.125,1.5,4.6875,50.0,0.09375
Imperativo3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,3,50.0,1.0,50.0,100.0,0.5
Resoluto3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,3,12.5,1.0,12.5,100.0,0.125
Cuidativo3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,3,25.0,1.0,25.0,50.0,0.5
Consultivo3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,3,6.25,1.0,6.25,200.0,0.03125
Prescritivo3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,3,100.0,1.0,100.0,200.0,0.5
Formador3Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,3,3.125,1.0,3.125,50.0,0.0625
Imperativo4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,4,6.25,1.0,6.25,100.0,0.0625
Resoluto4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,4,12.5,1.0,12.5,50.0,0.25
Consultivo4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,4,3.125,1.0,3.125,200.0,0.015625
Formador4Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,4,25.0,1.0,25.0,50.0,0.5
Imperativo5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,5,6.25,1.5,9.375,100.0,0.09375
Resoluto5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,5,12.5,1.5,18.75,50.0,0.375
Consultivo5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,5,3.125,1.5,4.6875,200.0,0.0234375
Formador5Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,5,25.0,1.5,37.5,50.0,0.75
Imperativo6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Imperativo,6,6.25,2.0,12.5,100.0,0.125
Resoluto6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Cuidativo,6,12.5,2.0,25.0,50.0,0.5
Consultivo6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Prescritivo,6,3.125,2.0,6.25,200.0,0.03125
Formador6Q04,Q04,04. Meu líder não se preocupa com detalhes na execução do trabalho dos integrantes da sua equipe.,Formador,6,25.0,2.0,50.0,50.0,1.0
Imperativo1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,1,100.0,2.0,200.0,200.0,1.0
Resoluto1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,1,25.0,2.0,50.0,100.0,0.5
Cuidativo1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,1,6.25,2.0,12.5,50.0,0.25
Consultivo1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,1,3.125,2.0,6.25,200.0,0.03125
Prescritivo1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,1,50.0,2.0,100.0,100.0,1.0
Formador1Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,1,12.5,2.0,25.0,25.0,1.0
Imperativo2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,2,100.0,1.5,150.0,200.0,0.75
Resoluto2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,2,25.0,1.5,37.5,100.0,0.375
Cuidativo2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,2,6.25,1.5,9.375,50.0,0.1875
Consultivo2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,2,3.125,1.5,4.6875,200.0,0.0234375
Prescritivo2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,2,50.0,1.5,75.0,100.0,0.75
Formador2Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,2,12.5,1.5,18.75,25.0,0.75
Imperativo3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,3,100.0,1.0,100.0,200.0,0.5
Resoluto3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,3,25.0,1.0,25.0,100.0,0.25
Cuidativo3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,3,6.25,1.0,6.25,50.0,0.125
Consultivo3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,3,3.125,1.0,3.125,200.0,0.015625
Prescritivo3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,3,50.0,1.0,50.0,100.0,0.5
Formador3Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,3,12.5,1.0,12.5,25.0,0.5
Imperativo4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,4,3.125,1.0,3.125,200.0,0.015625
Resoluto4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,4,50.0,1.0,50.0,100.0,0.5
Cuidativo4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,4,25.0,1.0,25.0,50.0,0.5
Consultivo4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,4,100.0,1.0,100.0,200.0,0.5
Prescritivo4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,4,6.25,1.0,6.25,100.0,0.0625
Formador4Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,4,12.5,1.0,12.5,25.0,0.5
Imperativo5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,5,3.125,1.5,4.6875,200.0,0.0234375
Resoluto5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,5,50.0,1.5,75.0,100.0,0.75
Cuidativo5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,5,25.0,1.5,37.5,50.0,0.75
Consultivo5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,5,100.0,1.5,150.0,200.0,0.75
Prescritivo5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,5,6.25,1.5,9.375,100.0,0.09375
Formador5Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,5,12.5,1.5,18.75,25.0,0.75
Imperativo6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Imperativo,6,3.125,2.0,6.25,200.0,0.03125
Resoluto6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Resoluto,6,50.0,2.0,100.0,100.0,1.0
Cuidativo6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Cuidativo,6,25.0,2.0,50.0,50.0,1.0
Consultivo6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Consultivo,6,100.0,2.0,200.0,200.0,1.0
Prescritivo6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Prescritivo,6,6.25,2.0,12.5,100.0,0.125
Formador6Q05,Q05,"05. Meu líder, sempre que possível, busca a opinião da equipe para a escolha de um caminho a seguir.",Formador,6,12.5,2.0,25.0,25.0,1.0
Imperativo1Q06,Q06,06. Meu líder permite que cada integrante da sua equipe realize o trabalho da maneira que preferirem.,Imperativo,1,100.0,2.0,200.0,200.0,1.0
Resoluto1Q06,Q06,06. Meu líder permite que cada integrante da sua equipe realize o trabalho da maneira que preferirem.,Resoluto,1,12.5,2.0,25.0,100.0,0.25
